rank,image_a,image_b,phash_hamming_distance,ssim_256_gray,same_sha256
91,1-coins/105_1479344850.jpg,1-coins/105_1479344856.jpg,2,0.9926901541073898,False
92,1-coins/115_1479349644.jpg,1-coins/115_1479349656.jpg,2,0.9926545690863946,False
93,1-coins/5_1477291854.jpg,1-coins/5_1477291860.jpg,2,0.9926305987009126,False
94,1-coins/115_1479347958.jpg,1-coins/115_1479347964.jpg,2,0.9926254718836681,False
95,1-coins/55_1477838958.jpg,1-coins/55_1477838964.jpg,2,0.9925855922275623,False
96,1-coins/50_1477194570.jpg,1-coins/50_1477194576.jpg,2,0.9925743383825832,False
97,1-coins/105_1479345378.jpg,1-coins/105_1479345384.jpg,2,0.9925599992819664,False
98,1-coins/105_1479344958.jpg,1-coins/105_1479344964.jpg,2,0.9925310142731183,False
99,1-coins/115_1479350550.jpg,1-coins/115_1479350556.jpg,2,0.9925125798105098,False
100,1-coins/75_1477849554.jpg,1-coins/75_1477849560.jpg,2,0.9925049156443893,False
101,1-coins/115_1479349572.jpg,1-coins/115_1479349578.jpg,2,0.9924741688320576,False
102,1-coins/5_1477291218.jpg,1-coins/5_1477291224.jpg,2,0.9924267042227767,False
103,1-coins/130_1477862010.jpg,1-coins/130_1477862016.jpg,2,0.9924150222985831,False
104,1-coins/30_1477787436.jpg,1-coins/30_1477787442.jpg,2,0.9924130343889032,False
105,1-coins/95_1477857462.jpg,1-coins/95_1477857468.jpg,2,0.9923603103156168,False
106,1-coins/115_1479350640.jpg,1-coins/115_1479350646.jpg,2,0.992354285828554,False
107,1-coins/105_1479345330.jpg,1-coins/105_1479345336.jpg,2,0.9923498876729745,False
108,1-coins/105_1479345084.jpg,1-coins/105_1479345090.jpg,2,0.9923422226093909,False
109,1-coins/10_1477147368.jpg,1-coins/10_1477147374.jpg,2,0.9923306415099085,False
110,1-coins/25_1477287246.jpg,1-coins/25_1477287252.jpg,2,0.9923288612451073,False
111,1-coins/115_1479347994.jpg,1-coins/115_1479348000.jpg,2,0.9922955250650622,False
112,1-coins/25_1477285452.jpg,1-coins/25_1477285458.jpg,2,0.9922356862845455,False
113,1-coins/115_1479350538.jpg,1-coins/115_1479350544.jpg,2,0.9922029900891147,False
