relative_path,full_brightness_mean,full_contrast_std,full_dark_fraction,full_bright_fraction,full_laplacian_variance,roi_coin_count,roi_brightness_median,roi_contrast_median,roi_dark_fraction_median,roi_bright_fraction_median,roi_laplacian_variance_median
1-coins/100_1477154436.jpg,132.60277669270835,22.76200769359115,0.00412109375,0.0,52.32018573947482,1,72.32242794024826,48.523504424441306,0.1331790448138018,0.0,1575.1266399389242
1-coins/100_1477154442.jpg,131.75304036458334,25.14982411202032,0.011233723958333334,0.0,20.67526653458277,1,49.13625252417898,51.158051931460825,0.36667020937400363,0.0,552.0783515230403
1-coins/100_1477154448.jpg,132.00941731770834,22.588769459958833,0.0040071614583333335,0.0,35.05517905501259,1,60.69185185185185,48.10307716116625,0.15024691358024692,0.0,1160.2195209724127
1-coins/100_1477154454.jpg,131.579765625,19.422826171995887,0.00169921875,2.9296875e-05,69.73317461411155,1,92.22159887798037,51.541873580414666,0.061009817671809255,0.0010518934081346423,2392.0069862311298
1-coins/100_1477154460.jpg,126.749052734375,21.717831756993697,0.006604817708333334,6.510416666666667e-06,58.784769754876024,1,59.93896321070234,50.679133371330174,0.24032489249880554,0.00023889154323936931,2022.398619245687
1-coins/100_1477154466.jpg,126.262265625,21.49216576797679,0.00326171875,3.2552083333333335e-06,44.17688864134682,1,71.83653659483595,41.68235627060481,0.0972626674432149,9.706853038245001e-05,1225.662178269456
1-coins/100_1477154472.jpg,124.971982421875,22.66076721151061,0.006455078125,0.0,39.17823714234034,1,56.80621052631579,46.80168489272351,0.20873684210526317,0.0,1173.4468734736843
1-coins/100_1477154478.jpg,152.30125651041666,23.86705869202742,0.00043294270833333336,0.0,32.24872992350261,1,84.35536024305556,45.89668112207316,0.014431423611111112,0.0,963.19521976989
1-coins/100_1477154484.jpg,152.11588541666666,22.096509027337415,0.001591796875,0.000146484375,144.65486857397295,1,99.04645878045702,59.43510208687168,0.06173462946597652,0.005681100871102134,5475.003040009362
1-coins/100_1477154490.jpg,152.45621744791666,24.18794352015,0.0014973958333333334,2.9296875e-05,84.39743410640295,1,77.60318802077043,54.83071628086754,0.05470353822002174,0.0010868252626494385,2989.978624005342
1-coins/100_1477154496.jpg,125.358828125,22.930493200504337,0.006927083333333334,1.3020833333333334e-05,29.098180285888237,1,57.09006663890046,47.20147108502352,0.22157434402332363,0.00041649312786339027,835.6165873180184
1-coins/100_1477154502.jpg,124.475029296875,20.162627903226937,0.006552734375,4.557291666666667e-05,55.19458111062579,1,68.4195061728395,57.85518587896394,0.24851851851851853,0.0017283950617283952,2014.950568068892
1-coins/100_1477154508.jpg,129.20124348958333,22.641996861832517,0.0045345052083333335,1.3020833333333334e-05,33.78272344588174,1,59.87977430555556,47.64269592080028,0.1511501736111111,0.00043402777777777775,1022.4307544378587
1-coins/100_1477154514.jpg,142.06885416666665,25.622492737899893,0.0067708333333333336,9.765625e-06,38.62686249728733,1,63.045913682277316,53.794214393163436,0.21222324252627284,0.00030609121518212427,1123.1785934859336
1-coins/100_1477154520.jpg,124.727431640625,20.9016560437128,0.0018294270833333333,8.138020833333333e-05,94.36776134198506,1,74.76961918788133,41.85892654297097,0.059120555438670314,0.002629917946560067,2956.2577372816772
1-coins/100_1477154526.jpg,128.09173177083332,19.34552840831191,0.0021875,2.2786458333333334e-05,89.61949511447486,1,77.57086167800453,51.16285324645935,0.09282879818594104,0.000992063492063492,3799.042516283724
1-coins/100_1477154532.jpg,150.47787109375,24.17055941849867,0.001123046875,0.0,52.530400713433146,1,80.15423822714682,49.347504603265264,0.03822714681440443,0.0,1676.8404002302007
