epoch,loss,lr
1,3.032467749016477,0.1
2,1.3144892569553532,0.1
3,0.8334068357219437,0.1
4,0.6248868538284346,0.1
5,0.5319732217852172,0.1
6,0.485050551683935,0.1
7,0.4462285971734566,0.1
8,0.43359396169772246,0.1
9,0.40082215437080326,0.1
10,0.3820161120495392,0.1
11,0.36543709669114255,0.1
12,0.36056265923471825,0.1
13,0.3496103999139739,0.1
14,0.315742602668718,0.1
15,0.2926634668756686,0.010000000000000002
16,0.23484626350557145,0.010000000000000002
17,0.21062933165791223,0.010000000000000002
18,0.20553848414156234,0.010000000000000002
19,0.19282882973869814,0.010000000000000002
20,0.19136038506922987,0.010000000000000002
21,0.18251817774473048,0.010000000000000002
22,0.17365252845380896,0.010000000000000002
23,0.17599380343215357,0.010000000000000002
24,0.1604993071342954,0.010000000000000002
25,0.15713883436598963,0.0010000000000000002
26,0.14087595950169987,0.0010000000000000002
27,0.13398570025120413,0.0010000000000000002
28,0.13348141012865933,0.0010000000000000002
29,0.138201605187443,0.0010000000000000002
30,0.13604657536037804,0.0010000000000000002
